id,matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp
7ca2d989,1,90,1.0,1,1,0,37,1,1,0,0.2,1.3,-1.1,18,ENG
7ca9f0f0,2,46,0.5,0,0,2,4,0,0,0,0.4,0.4,0.0,18,ENG
7d2d3329,8,378,4.2,4,2,4,0,6,9,-3,6.8,5.8,1.0,18,ENG
7d41b619,25,1856,20.6,20,19,5,11,20,29,-9,19.3,31.5,-12.3,18,ENG
7dbbe367,25,1923,21.4,22,16,3,0,20,35,-15,21.9,26.4,-4.5,18,ENG
7f4f3e49,35,2596,28.8,30,19,5,0,29,49,-20,26.9,43.6,-16.8,18,ENG
7fe90ccd,22,1098,12.2,12,5,10,9,21,15,6,21.7,11.6,10.1,18,ENG
7fec31a0,28,1947,21.6,21,19,7,10,30,41,-11,23.0,34.2,-11.1,18,ENG
80c31c97,32,2817,31.3,32,31,0,1,48,52,-4,40.9,41.7,-0.8,18,ENG
810e3c74,33,1817,20.2,20,3,13,4,41,18,23,29.6,23.2,6.4,18,ENG
819aa8e7,36,2492,27.7,28,15,8,2,33,28,5,33.3,33.1,0.2,18,ENG
819b3158,30,1517,16.9,15,9,15,4,44,14,30,32.9,12.5,20.4,18,ENG
82b1198a,5,381,4.2,4,4,1,29,10,3,7,8.0,4.7,3.2,18,ENG
82dbf623,16,238,2.6,1,0,15,13,5,2,3,7.7,4.5,3.2,18,ENG
82e34b69,29,1844,20.5,20,13,9,1,24,28,-4,26.4,23.9,2.5,18,ENG
8309b068,1,90,1.0,1,1,0,8,0,2,-2,0.5,1.6,-1.1,18,ENG
833fb62e,8,278,3.1,3,0,5,4,1,7,-6,1.6,4.7,-3.0,18,ENG
8397a50c,4,201,2.2,3,1,1,4,1,5,-4,1.0,3.7,-2.7,18,ENG
839c14e1,32,2794,31.0,32,29,0,0,31,44,-13,33.5,35.2,-1.7,18,ENG
85b011bb,15,1292,14.4,14,14,1,17,12,24,-12,15.5,18.7,-3.2,18,ENG
861e0116,5,335,3.7,4,3,1,1,2,6,-4,1.9,5.6,-3.7,18,ENG
867239d3,27,2148,23.9,25,19,2,0,48,20,28,39.1,25.8,13.3,18,ENG
86dd77d1,32,2785,30.9,32,29,0,4,87,22,65,64.8,19.6,45.2,18,ENG
87449a74,1,20,0.2,0,0,1,2,0,2,-2,0.0,1.0,-1.0,18,ENG
87575fd9,16,683,7.6,5,4,11,0,19,1,18,13.8,7.4,6.5,18,ENG
875898c7,28,2520,28.0,28,28,0,6,27,42,-15,26.3,33.6,-7.3,18,ENG
87935cf3,19,1600,17.8,18,17,1,2,24,23,1,26.0,22.0,4.1,18,ENG
8816329f,28,1784,19.8,19,12,9,0,17,22,-5,20.6,24.4,-3.8,18,ENG
892d5bb1,36,2950,32.8,34,22,2,0,49,51,-2,42.0,40.5,1.5,18,ENG
89cbc961,4,121,1.3,1,0,3,3,2,2,0,1.3,1.8,-0.5,18,ENG
89d10e53,10,800,8.9,9,6,1,10,18,14,4,14.0,10.9,3.1,18,ENG
89e4b358,7,523,5.8,5,5,2,2,2,6,-4,5.3,4.3,1.0,18,ENG
8a7ff278,19,1613,17.9,19,16,0,4,16,25,-9,23.2,20.3,2.9,18,ENG
8aa5f52c,28,2210,24.6,24,21,4,5,26,45,-19,25.3,33.3,-8.0,18,ENG
8aadeaef,1,7,0.1,0,0,1,5,1,0,1,0.1,0.0,0.1,18,ENG
8abd0c03,12,994,11.0,12,10,0,5,18,17,1,14.2,13.9,0.3,18,ENG
8ae9869d,37,3265,36.3,37,35,0,0,28,53,-25,30.1,46.6,-16.5,18,ENG
8aec0537,38,2928,32.5,35,11,3,0,34,46,-12,34.0,40.1,-6.0,18,ENG
