id,y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp
3963c25b,0,0,0,1,1,0,0,0,0,6,5,2,7,18,GER
3a233281,2,0,0,26,31,5,0,0,0,131,23,26,49,18,GER
3c05e082,2,0,0,35,54,7,0,1,0,107,52,56,108,18,GER
3c6089ab,4,0,0,21,14,10,0,0,0,52,33,47,80,18,GER
3cd9e95a,0,0,0,1,6,0,0,1,0,58,10,1,11,18,GER
3dffff26,8,0,0,41,15,2,0,0,0,104,13,27,40,18,GER
3e99c613,0,0,0,1,0,0,0,0,0,3,4,1,5,18,GER
3eb0f2df,2,0,0,31,37,1,0,1,0,101,14,25,39,18,GER
3f30b506,0,0,0,5,11,1,0,0,0,37,31,16,47,18,GER
3f65898c,4,0,0,44,37,2,0,0,0,103,100,83,183,18,GER
3f7cd8f1,5,0,0,42,27,0,0,0,0,139,39,35,74,18,GER
3faa1780,1,0,0,32,23,0,0,0,0,84,4,28,32,18,GER
410ab123,1,0,0,20,27,5,0,0,0,70,11,24,35,18,GER
4114f306,4,0,0,35,32,0,0,1,0,130,49,37,86,18,GER
420c18a1,1,0,0,0,3,0,0,0,0,48,8,1,9,18,GER
433dc9a2,1,0,0,5,12,1,0,0,0,34,11,17,28,18,GER
43a166b4,2,0,0,32,40,16,0,0,0,46,45,63,108,18,GER
442b56fa,1,0,0,5,4,1,0,0,0,16,2,5,7,18,GER
44e471ca,0,0,0,1,1,0,0,0,0,6,2,1,3,18,GER
45870256,0,0,0,0,1,0,0,0,0,0,1,1,2,18,GER
45954ec7,4,0,0,25,14,0,0,2,0,63,26,23,49,18,GER
45a03961,2,0,0,24,21,2,0,2,0,124,100,86,186,18,GER
45b7edae,2,0,0,22,17,0,0,0,0,119,58,30,88,18,GER
463503e2,0,0,0,7,0,0,0,0,0,46,33,30,63,18,GER
47064058,0,0,0,0,5,0,0,0,0,83,8,1,9,18,GER
48035304,6,0,0,19,30,1,1,0,0,129,86,48,134,18,GER
482b70ad,0,0,0,20,18,0,0,0,0,17,25,22,47,18,GER
49296448,1,0,0,17,52,2,1,1,0,140,20,18,38,18,GER
496aeede,5,0,0,45,27,0,0,1,0,143,19,23,42,18,GER
49d53c68,6,0,0,20,22,0,0,0,0,92,23,20,43,18,GER
49fe9070,1,0,0,26,25,38,0,0,0,46,14,24,38,18,GER
49ffe0f2,4,0,0,21,25,6,0,0,0,39,11,17,28,18,GER
4a15e95b,2,0,0,1,2,0,0,0,0,23,1,0,1,18,GER
4b5e7e90,1,0,0,1,0,0,0,0,0,0,0,2,2,18,GER
4bd00a50,6,0,0,37,19,2,0,2,0,105,42,29,71,18,GER
4d74201d,0,1,0,10,6,5,0,0,0,15,10,14,24,18,GER
4d8cd038,2,0,0,21,10,7,0,0,0,25,20,44,64,18,GER
4e204552,0,0,0,7,1,1,0,1,0,4,1,1,2,18,GER
4f16405e,2,0,0,60,46,11,0,0,0,65,153,132,285,18,GER
500cd987,1,0,0,9,10,1,0,0,0,26,3,3,6,18,GER
50871bcc,1,0,0,25,55,21,1,0,0,119,31,62,93,18,GER
51dbeea9,4,0,0,35,29,2,1,0,0,125,55,48,103,18,GER
531807b3,2,0,0,20,12,11,0,0,0,14,26,41,67,18,GER
5343eb4e,2,0,0,36,43,16,2,0,0,47,32,62,94,18,GER
536cebe5,8,0,0,56,36,11,1,0,0,62,33,59,92,18,GER
53e07d0b,2,0,0,14,22,12,0,0,0,7,30,33,63,18,GER
53eeaf6a,0,0,0,10,11,0,0,0,0,4,18,19,37,18,GER
541cdd20,4,0,0,18,17,0,0,0,0,71,15,18,33,18,GER
549c6ba7,4,0,0,57,21,18,1,0,0,54,50,52,102,18,GER
54b4dc4e,3,0,0,29,19,4,0,0,0,73,14,9,23,18,GER
54b6ee79,0,0,0,6,6,8,0,0,0,24,17,26,43,18,GER
54e4866f,0,0,0,2,6,2,1,0,0,38,5,5,10,18,GER
5528407e,10,0,0,60,54,0,0,0,0,103,40,21,61,18,GER
55537f53,3,0,0,6,3,1,0,0,0,13,2,7,9,18,GER
555d5edd,4,0,0,42,38,3,0,0,0,106,6,14,20,18,GER
5603d397,0,0,0,0,0,0,0,0,0,0,1,0,1,18,GER
56413b1f,4,0,0,41,52,1,0,1,0,177,13,29,42,18,GER
565bf0da,3,0,0,11,20,0,0,0,1,113,78,42,120,18,GER
57200916,1,0,0,1,0,0,0,0,0,0,1,1,2,18,GER
5722eced,2,0,0,30,16,1,0,0,0,69,4,13,17,18,GER
5939baa2,4,0,0,45,15,0,0,2,1,138,42,32,74,18,GER
59e4b92e,8,0,0,48,32,1,0,0,0,88,55,61,116,18,GER
5afafbfe,0,0,0,9,17,1,1,0,0,59,2,15,17,18,GER
5b52d1f7,0,0,0,0,0,0,0,0,0,1,0,0,0,18,GER
5c4bf6ba,1,0,0,1,0,0,0,1,0,28,4,2,6,18,GER
5c899683,0,0,0,0,0,0,0,0,0,2,1,0,1,18,GER
5caa62a7,0,0,0,11,32,4,0,0,0,116,0,13,13,18,GER
5d8e331f,7,1,1,43,53,0,1,1,0,125,50,36,86,18,GER
5ddb8f9f,1,0,0,11,5,0,0,0,0,55,20,22,42,18,GER
5e1df051,0,0,0,0,0,0,0,0,0,2,0,1,1,18,GER
5e66fa06,1,0,0,20,30,0,0,1,0,154,73,46,119,18,GER
5ed9b537,1,0,0,13,10,0,0,1,0,58,36,19,55,18,GER
5f9f0531,1,0,0,27,41,5,0,0,0,114,17,26,43,18,GER
603cb947,1,0,0,10,28,12,0,0,0,65,6,18,24,18,GER
612cb8d3,2,0,0,13,6,0,0,0,0,30,4,10,14,18,GER
61b0b44d,4,0,0,50,36,5,0,0,0,32,61,66,127,18,GER
61fc9685,4,0,0,19,16,1,0,0,0,59,1,22,23,18,GER
626fab5f,3,0,0,8,10,0,0,0,0,29,11,11,22,18,GER
62ab9184,1,0,0,10,17,4,1,0,0,49,21,28,49,18,GER
6435e737,3,0,0,11,8,1,0,1,0,50,10,11,21,18,GER
64c07ae1,5,0,0,27,13,0,0,0,0,77,44,25,69,18,GER
64f69877,5,0,0,59,60,18,0,0,0,64,23,61,84,18,GER
652d4c37,3,0,0,21,39,0,1,0,0,64,20,27,47,18,GER
66385c46,3,0,0,29,24,8,0,0,0,78,21,22,43,18,GER
