id,att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp
b8814868,8,5,1,5,2,4,5,1,1,0,1,1,9,1,0,23,EL
b91a6912,2,0,1,1,0,2,4,2,1,0,1,2,4,0,0,23,EL
b9392438,4,4,1,3,0,2,2,0,7,0,7,2,6,4,0,23,EL
b956af7d,2,0,0,1,1,0,0,0,4,1,3,1,3,5,0,23,EL
ba3d3bea,3,1,0,3,0,2,3,1,6,3,3,4,7,3,0,23,EL
ba492306,6,3,5,0,1,3,5,2,1,0,1,2,8,5,0,23,EL
ba6d9ff6,3,1,2,1,0,1,3,2,0,0,0,1,4,0,0,23,EL
bac46a10,26,16,23,3,0,19,22,3,9,5,4,12,38,30,0,23,EL
bb598858,12,6,9,1,2,7,10,3,0,0,0,2,14,4,0,23,EL
bb718263,18,7,5,6,7,10,20,10,11,0,11,4,22,4,0,23,EL
bba30585,1,0,1,0,0,0,1,1,2,0,2,1,2,2,0,23,EL
bbf5c11b,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,23,EL
bc08556f,2,0,2,0,0,1,1,0,1,1,0,0,2,1,0,23,EL
bc6e544a,7,5,7,0,0,5,7,2,3,1,2,1,8,7,0,23,EL
bc7b4580,3,1,3,0,0,2,3,1,2,1,1,3,6,5,0,23,EL
bc7dc64d,5,3,0,1,4,3,7,4,4,1,3,2,7,1,0,23,EL
bced0375,22,14,15,5,2,13,20,7,9,5,4,5,27,4,1,23,EL
bceda5ff,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,EL
bcf5058a,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,EL
bd142efb,14,10,10,4,0,5,5,0,10,3,7,8,22,31,0,23,EL
bd2f622a,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,23,EL
bdf8165d,3,0,1,2,0,1,5,4,3,1,2,2,5,2,0,23,EL
be47b750,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,23,EL
be855308,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,EL
beb882a8,5,4,2,2,1,4,8,4,3,2,1,5,10,3,0,23,EL
bece776f,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23,EL
bee0bab1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
bf075f6b,5,2,2,2,1,4,5,1,0,0,0,0,5,1,0,23,EL
bf12926c,2,0,0,1,1,1,3,2,5,0,5,1,3,1,0,23,EL
bf25cb29,2,2,1,0,1,1,1,0,0,0,0,0,2,0,0,23,EL
bf34eebd,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,23,EL
bf4c41f9,1,1,1,0,0,0,1,1,0,0,0,1,2,3,0,23,EL
bf80db4d,11,7,9,2,0,7,7,0,7,3,4,11,22,41,1,23,EL
bfc5768b,6,2,2,3,1,1,5,4,6,0,6,2,8,4,0,23,EL
c0347e9b,3,3,3,0,0,3,3,0,2,0,2,1,4,3,0,23,EL
c0a38fb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
c13ddd3e,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,23,EL
c1851bfd,8,4,5,3,0,5,5,0,7,2,5,4,12,11,0,23,EL
c1949191,3,2,2,0,1,1,1,0,4,3,1,2,5,9,0,23,EL
c275947b,12,10,6,6,0,4,20,16,2,1,1,3,15,1,0,23,EL
c4987edc,21,12,13,6,2,12,21,9,7,2,5,13,34,33,1,23,EL
c4e87b8b,6,1,1,4,1,2,7,5,8,3,5,2,8,5,0,23,EL
c4f5eb61,3,1,2,1,0,1,1,0,0,0,0,0,3,0,0,23,EL
c54638ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
c5bdb6e3,6,2,2,3,1,1,2,1,2,0,2,1,7,2,0,23,EL
c5cbbcff,4,2,4,0,0,1,2,1,1,1,0,0,4,3,0,23,EL
c63f6e46,2,2,1,0,1,1,2,1,3,0,3,0,2,0,0,23,EL
c6486b01,3,1,1,2,0,2,4,2,2,0,2,4,7,4,0,23,EL
c678ddd7,1,0,1,0,0,0,0,0,4,4,0,1,2,6,0,23,EL
c68b1b13,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,23,EL
c6cf860f,2,1,2,0,0,2,3,1,1,0,1,2,4,4,0,23,EL
c707411f,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,EL
c71e97ba,23,11,13,7,3,10,20,10,8,0,8,12,35,10,0,23,EL
c75f04f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
c7842dab,11,3,3,8,0,2,8,6,8,3,5,5,16,4,0,23,EL
c9817014,24,16,10,11,3,15,21,6,7,1,6,5,29,7,0,23,EL
c997b942,3,3,2,1,0,1,2,1,3,0,3,2,5,0,0,23,EL
c9e39d91,14,6,3,9,2,9,19,10,13,0,13,9,23,3,0,23,EL
ca3478f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
ca607d59,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,23,EL
ca618d23,6,3,5,1,0,2,8,6,4,0,4,1,7,3,0,23,EL
ca6edaa0,2,1,0,2,0,1,3,2,0,0,0,1,3,0,0,23,EL
cac2537b,4,3,0,1,3,2,7,5,4,0,4,2,6,3,0,23,EL
cad3fd4d,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,23,EL
cbeed9e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
ccd38335,3,3,3,0,0,1,3,2,2,0,2,2,5,4,0,23,EL
cd6a1a59,10,5,4,4,2,4,7,3,8,3,5,14,24,3,0,23,EL
cf1ef7ec,3,2,1,2,0,2,5,3,1,0,1,2,5,3,0,23,EL
cf8ef0a1,2,2,2,0,0,1,2,1,4,0,4,3,5,1,0,23,EL
cf9bdd43,16,10,8,7,1,10,13,3,4,1,3,9,25,30,0,23,EL
cfd68aa7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,EL
d01bbb6f,13,6,4,7,2,5,12,7,10,0,10,3,16,5,0,23,EL
d03380ec,1,1,1,0,0,0,1,1,3,1,2,3,4,1,0,23,EL
d080ed5e,15,8,2,9,4,6,11,5,9,5,4,12,27,4,0,23,EL
d0a0858e,8,3,4,3,1,5,8,3,1,0,1,2,10,2,0,23,EL
d0a39bdf,3,2,1,0,2,1,5,4,1,0,1,2,5,5,0,23,EL
d1b49282,11,8,7,3,1,7,13,6,8,0,8,4,15,5,0,23,EL
d2795011,6,4,5,0,1,5,7,2,1,0,1,2,8,5,0,23,EL
d2800f47,10,6,2,4,4,3,10,7,3,0,3,2,12,2,0,23,EL
d29202c2,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,23,EL
d2c580ce,10,4,5,2,3,5,6,1,3,2,1,3,13,4,0,23,EL
d2ddff2d,3,1,2,1,0,2,3,1,2,0,2,0,3,3,0,23,EL
d33c706e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
d3aaad90,10,6,2,3,5,1,4,3,2,1,1,1,11,2,0,23,EL
d4133fa1,4,2,1,3,0,2,6,4,7,2,5,9,13,13,0,23,EL
d4535821,6,4,6,0,0,5,5,0,1,0,1,0,6,9,0,23,EL
d46d048f,6,5,4,2,0,3,6,3,1,0,1,4,10,3,0,23,EL
d4808594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,EL
d4822868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
d4aa40b8,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,23,EL
d5127c3f,5,3,3,2,0,4,8,4,5,0,5,0,5,5,0,23,EL
d5161564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
d5efd527,7,3,4,2,1,1,2,1,13,7,6,9,16,26,0,23,EL
d682f554,2,0,0,1,1,0,2,2,3,0,3,0,2,0,0,23,EL
d6f866ba,5,1,1,4,0,2,5,3,3,2,1,2,7,5,0,23,EL
