id,fk_ag,ck_ag,og_ag,ps_xg,ps_xg_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,att_launch_non_goal_kick,att_pass_non_goal_kick,season,comp
420c18a1,0,1,0,14.1,1.1,33,86,293,29,8555.6,49,1180.9,107,6,50,12.6,7,37,244,21,CL
42130443,0,0,0,0.2,0.2,0,0,20,5,436.0,5,78.0,9,0,0,0.0,0,-5,15,21,CL
62d7ef38,0,0,0,2.3,1.3,14,38,73,16,2584.2,22,594.0,38,2,15,15.8,5,16,51,21,CL
63e905bc,0,0,0,3.1,-0.9,16,41,84,13,2788.8,12,598.8,18,1,54,18.1,8,29,72,21,CL
6f51e382,0,0,0,11.0,2.0,10,15,98,15,2312.8,29,742.4,41,0,81,16.2,4,-14,69,21,CL
74419746,0,1,1,6.8,-1.2,14,29,154,21,4127.2,21,436.8,48,1,205,20.5,1,8,133,21,CL
74733221,0,0,0,3.2,-0.8,10,19,38,7,1075.4,12,552.0,24,0,88,22.2,9,7,26,21,CL
7a2e46a8,0,0,0,8.9,3.9,26,64,210,31,6153.0,50,1870.0,64,1,287,22.1,19,14,160,21,CL
7b456af7,1,0,0,1.8,-1.2,8,19,36,3,1195.2,8,359.2,20,1,14,14.7,5,11,28,21,CL
7ba6d84e,1,1,1,6.7,-0.3,21,46,83,16,2689.2,39,1267.5,63,2,58,14.5,16,7,44,21,CL
853b7c48,1,1,0,12.9,3.9,66,220,329,39,14147.0,60,2400.0,183,4,112,14.1,28,160,269,21,CL
8778c910,0,1,0,13.0,5.0,28,57,273,57,7507.5,44,1359.6,92,3,527,21.1,8,13,229,21,CL
8b3d765f,0,0,0,3.7,0.7,17,42,53,8,2204.8,19,894.9,31,0,13,13.5,13,23,34,21,CL
903b6e8b,0,0,0,11.1,1.1,28,80,161,39,5184.2,49,2062.9,68,6,0,9.4,27,31,112,21,CL
93fffbcf,0,0,0,0.1,0.1,3,27,37,5,1498.5,8,447.2,8,1,0,5.0,7,19,29,21,CL
9d12e142,0,0,0,3.8,2.8,14,39,113,19,3457.8,24,808.8,45,4,9,9.0,7,15,89,21,CL
a3b0ed18,0,3,0,9.4,-0.6,50,107,177,29,6230.4,70,2450.0,143,10,63,12.6,33,37,107,21,CL
a3b952f8,0,0,0,9.2,0.2,38,108,161,10,6262.9,36,1990.8,50,0,11,11.2,30,72,125,21,CL
a9dc785c,0,0,0,1.8,0.8,5,17,70,14,1631.0,22,726.0,26,0,82,20.7,7,-5,48,21,CL
ac4003af,0,0,0,9.8,-1.2,17,35,86,25,2433.8,29,1386.2,40,3,84,16.8,18,6,57,21,CL
afb0c500,0,0,0,2.2,0.2,4,11,68,11,1652.4,13,282.1,19,0,58,19.4,1,-2,55,21,CL
b583aef5,0,2,0,12.1,-5.9,37,92,141,29,5555.4,43,1883.4,71,3,186,15.5,23,49,98,21,CL
bcb2ccd8,1,1,1,16.7,1.7,26,75,261,43,7934.4,41,979.9,81,5,260,18.6,8,34,220,21,CL
cecbce23,0,0,0,8.1,1.1,20,64,116,19,4060.0,34,1509.6,56,1,73,18.3,19,30,82,21,CL
d436eb94,1,1,0,7.5,-1.5,46,95,199,26,7024.7,32,1174.4,43,3,308,23.7,12,63,167,21,CL
d97b252e,0,1,0,6.6,-1.4,29,74,94,23,3929.2,30,1398.0,76,4,7,7.0,21,44,64,21,CL
e358587b,0,0,1,8.9,-2.1,24,54,261,45,7334.1,24,475.2,90,2,43,10.8,2,30,237,21,CL
e40d028b,0,0,0,1.0,1.0,4,6,14,6,404.6,13,364.0,6,0,0,0.0,4,-7,1,21,CL
e5a76dfe,0,0,0,1.1,-0.9,3,5,12,5,409.2,6,105.0,7,0,0,0.0,1,-1,6,21,CL
e9c0c1b2,0,0,1,8.4,2.4,22,77,284,34,8321.2,31,830.8,64,2,79,15.9,5,46,253,21,CL
eb2b33aa,0,1,0,8.8,-0.2,18,44,86,13,2855.2,32,1315.2,57,1,8,8.5,15,12,54,21,CL
ecada4fc,1,2,0,18.7,3.7,47,140,334,62,10921.8,101,3211.8,181,5,100,12.5,32,39,233,21,CL
ee8508c0,0,0,1,9.7,-0.3,41,119,147,30,5703.6,61,2555.9,93,3,57,14.3,37,58,86,21,CL
f0f7f62f,0,1,0,1.1,0.1,34,60,64,6,2848.0,19,1086.8,41,2,43,14.4,18,41,45,21,CL
f6798fc3,0,0,0,7.6,1.6,18,38,119,18,3379.6,25,945.0,47,2,135,19.3,12,13,94,21,CL
f76e6b4e,0,0,0,1.0,1.0,9,18,24,3,909.6,8,340.0,18,3,13,13.0,4,10,16,21,CL
01b8a2b2,0,4,2,29.8,-0.2,76,149,836,132,22154.0,179,3938.0,399,12,599,16.2,19,-30,657,21,ITA
085e71a7,1,10,1,56.2,2.2,180,496,789,160,29903.1,260,11336.0,486,24,359,13.3,142,236,529,21,ITA
08f5afaa,2,6,1,35.7,-1.3,152,365,1021,148,29609.0,207,6975.9,556,29,636,14.8,86,158,814,21,ITA
0d422df7,1,6,2,36.6,-3.4,191,679,694,77,29911.4,266,15428.0,444,9,248,12.4,238,413,428,21,ITA
10dc46f0,1,6,0,50.4,-11.6,168,418,734,108,24662.4,271,10270.9,486,11,306,14.6,137,147,463,21,ITA
18736214,1,0,0,8.6,-0.4,27,53,240,24,6624.0,43,1130.9,86,5,150,15.0,10,10,197,21,ITA
